"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L7"
"Adgrg1",5.51671830665252,2.2761721439153e-74,3.96827851570194e-70,18.1799547055515,0.546731735972951
"C1qtnf6",4.23227026200294,1.0772951745033e-65,9.39078203614528e-62,56.3481140732075,3.0109824173544
"Capn3",4.11620193345098,7.60371158642151e-53,4.41877025992242e-49,47.2701687382552,2.62129863895269
"Cd101",3.16747901492317,1.21019076332348e-50,5.27461644194538e-47,20.6034493478714,2.19124248766119
"Dapk2",4.45080273872054,7.90980501582567e-49,2.75799081291809e-45,65.5101504395151,2.9011644106472
"Gm12253",6.40500987282614,1.06948444520823e-44,3.10756530296005e-41,43.2026740128369,0.49258904941231
"Plekhf1",3.42522633394992,3.91474170932729e-44,9.74994385148742e-41,2.97530148220085,0.261934649482281
"Cela1",5.21549038508054,9.80869640562069e-43,2.13756016419489e-39,71.6397853195079,2.13817484438434
"Cd38",2.94566805602162,1.58278250433698e-41,3.06602557562344e-38,65.8279258590943,8.07962218337234
"Pdgfb",3.34017573900123,1.71325026234044e-40,2.98688050736433e-37,8.84368055243615,0.803778419341514
"2900026A02Rik",2.95934803708655,3.83677457068315e-38,6.08093889684456e-35,14.4188982855242,1.76598284981495
"Clec1b",4.00572298165796,2.45783945886347e-37,3.57083109381881e-34,15.1643344961093,0.844675428569177
"Asb2",4.7990397300237,3.04566013526342e-35,4.08446452293711e-32,29.5460923323342,1.02145460998238
"Clec4f",3.14647879988047,6.83708014897583e-35,8.51411823694605e-32,24.2135358241727,2.70674531791347
"Apol7e",2.32448574243961,9.23968854145979e-35,1.07389820021207e-31,52.2587605683998,10.0233000370432
"Septin4",3.6669375531753,4.90617064181574e-34,5.34588618558848e-31,19.4126195156348,1.32832935144318
"Cd5l",3.66097358790934,1.52653812133013e-32,1.56550974160408e-29,52.036642440265,3.9177602356069
"Ccrl2",3.11860476634344,2.99569707411562e-32,2.90149904389621e-29,89.0465781350629,9.5872681436148
"Gpat3",3.29885768256452,8.08136820338419e-32,7.41529332935789e-29,7.1217193042808,0.524620542144775
"Cfap126",3.0998258627947,2.26889376457639e-30,1.97779469458124e-27,18.4059016912261,1.95937033429603
"Vsig4",3.56396649509028,5.23912025056376e-30,4.34946773563469e-27,11.2215003374587,0.936509295148407
"Apoc1",3.31117231348451,5.82907189150833e-30,4.6192745162071e-27,41.5497951911062,4.13025722745168
"Srbd1",2.60795279213189,4.81351688031553e-29,3.64864579527917e-26,108.465565660408,11.9870055303794
"Glp1r",5.06702452015597,5.66862302912275e-28,4.11778224540525e-25,10.0737201461394,0.287063903392983
"Clca3a1",4.39382884628806,6.57652528305015e-27,4.58620567138785e-24,1.4126737893785,0.0628683515233165
"Padi2",2.55881804409272,5.06251838026512e-26,3.39461328621316e-23,34.4165485608694,4.98447083428062
"Enpp5",3.43703342909208,1.08923323966896e-25,7.03321937051431e-23,7.84438452931456,0.716712261863237
"Pdzd2",3.15325488990797,1.22064384637157e-25,7.60025172058644e-23,2.83142601925314,0.303320221854889
"Syngr3",3.48704169638095,1.79309426850702e-25,1.07795880955694e-22,4.14548297133084,0.355444569973918
"Tigit",2.17459413130028,2.97117184462151e-25,1.72664699797105e-22,679.436597220887,142.499371405282
"Optn",3.24191389274995,3.51627264666484e-25,1.97750636522435e-22,5.52628132012929,0.550280936153799
"Actn2",3.58192960169354,4.24046076868754e-25,2.31025603254058e-22,38.6340814751297,1.32995853593188
"C1qc",3.17699722947257,7.47690157144467e-25,3.95006975747171e-22,17.4711557805391,1.80675280097358
"Grb7",3.66515684511945,9.57487509983379e-25,4.90965801442654e-22,5.55807803084631,0.395614171654482
"Ifi27l2a",1.71793245882365,4.04867592732397e-24,2.0167033176276e-21,5738.52843459285,1646.66419724708
"Cdkn2c",1.9886553140521,6.03418700333186e-24,2.9222226726691e-21,33.1163084097194,7.05479221873458
"2010300C02Rik",2.68474582049987,8.34702659658764e-24,3.93302869418673e-21,6.82096076082089,0.988050127696125
"Pnpla7",1.94968124803457,9.58853547051144e-24,4.39911914191832e-21,41.7499857226138,10.748649634443
"Baiap3",2.03828172247958,1.18227857717085e-23,5.28218549167375e-21,21.0988853967993,5.63965141985331
"Rhod",4.31819693343081,1.24222556589781e-23,5.28218549167375e-21,5.33066679087471,0.254348954786356
"Slc40a1",3.48791390225137,1.2278782739996e-23,5.28218549167375e-21,33.3183209016411,2.80681529698557
"Chn2",3.2922295148918,1.43134429170754e-23,5.94144199562601e-21,49.3045362708433,5.44565778882773
"Rnf165",3.46627575522133,6.61365139279588e-23,2.68145112516287e-20,1.88598957157127,0.114711108718785
"Nedd4",1.93924059626735,1.28865504778068e-22,5.10600275068371e-20,40.1725817061981,10.436505886559
"Eci2",1.66451125028246,1.69436542649176e-22,6.56434818787942e-20,145.331775164647,72.6338070532846
"Gpr55",2.37367263646491,1.83813098644353e-22,6.96651643862098e-20,10.9095429057136,1.99168321378545
"Acoxl",3.85752805795329,6.27131745345701e-22,2.32625847837382e-19,32.1849149949443,1.84927049068008
"Klra6",3.98742191737851,1.05820505718424e-21,3.84348895144793e-19,42.0085075050274,2.49179305759198
