"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Cd200",6.79514903156472,2.67908127213873e-291,5.25957235346276e-287,3.68412143774777,420.514607001059
"Slc9b2",7.9726075604303,1.93253997955483e-203,1.89698124393102e-199,0.205153412627734,90.2591318658236
"Ccl5",-7.01013958643831,4.89411019250243e-182,3.20270570997359e-178,26417.7870285697,192.489365625824
"Angptl2",7.99976790989139,1.14228285967562e-164,5.60632427528796e-161,0.12934665981889,31.6830720259261
"Nrgn",6.91357613673822,8.25065300429576e-129,3.23953639560669e-125,1.53669179738952,160.344699468521
"Xcl1",8.0232568064819,1.21980046830352e-126,3.99118713228912e-123,4.84860008869483,1246.46178517489
"Ctla2a",-5.5493495012788,4.92787927907647e-120,1.3820589429547e-116,905.390415068711,17.3542211226098
"Id2",-3.53225073570652,5.76892104505979e-112,1.41569322445767e-108,1503.20915640472,126.234881140906
"Hid1",-5.54478253009874,1.18539416053596e-104,2.58573979551578e-101,22.927376303396,0.482342174687879
"Itgax",-5.1787570842545,2.14053927427378e-89,3.96482064380505e-86,43.1760394725433,1.14370571169616
"Klrg1",-8.25541244267134,2.22152745934472e-89,3.96482064380505e-86,162.285978585389,0.521097747531556
"Baiap3",-3.78377633893979,2.93240203340993e-89,4.79740972665865e-86,70.2470997998792,5.28467952352716
"Fam81a",5.36787731960654,1.63763938980586e-87,2.47308742312836e-84,0.721458705004047,10.2921771037874
"Gpm6b",5.72052462679706,1.93650522995827e-86,2.53449804496938e-83,0.239804491684745,12.3351488234487
"Spry1",7.89100115727978,1.87068264353231e-86,2.53449804496938e-83,0.0538366886529965,12.9716021181486
"Acss2",-3.61500369297712,4.85001337881492e-85,5.95096641580591e-82,17.7223394588124,1.43369242144538
"Cd7",-4.98918509587561,3.63549869476466e-84,4.19835943385999e-81,451.387527576923,13.8164416654413
"Pkn3",5.83540988227277,1.28962375387633e-83,1.40654964089445e-80,0.158547590025596,6.62102889358582
"Ctla2b",-4.2587391552152,1.12846921346165e-81,1.16600566308837e-78,120.562097269043,6.38689795447501
"Wdr95",-5.9253391624497,8.04538163928991e-80,7.89734661712698e-77,38.7467080006678,0.616058171586389
"Itm2a",3.68664774403584,3.11790645192621e-79,2.91479711734359e-76,15.4536943971184,198.849089929
"Eno3",5.50417671536033,1.16636179070963e-78,1.04081884887325e-75,2.55292513542915,112.97356629073
"Lclat1",4.08861360281985,1.48320189302307e-77,1.26600954625343e-74,1.59175409541487,21.8299040254101
"Lag3",3.70000508156984,5.72753273646367e-77,4.68512177842728e-74,13.0371906440113,169.710830733023
"Tnfrsf4",4.97553678643678,1.21309390281193e-75,9.52618380000154e-73,1.37746161568921,43.0151496928606
